id,name,species_id,life_span,temperament,origin,country_codes,country_code,description,bred_for,perfect_for,breed_group,history,reference_image_id,weight,height,image,weight_metric_raw,weight_min,weight_max,weight_mean,height_metric_raw,height_min,height_max,height_mean,life_min,life_max,life_mean,size_cat,temperament_list
1,Affenpinscher,2,12-15,"Confident, alert, playful, loyal, courageous",Germany,DE,DE,"Small, sturdy toy breed with a distinctive monkey-like expression and shaggy, wiry coat. Known for its confident, terrier-like personality despite its small size.",,,Toy,"Originating in 17th-century Germany, bred down from larger terriers to be skilled ratters in homes, kitchens and stables. Refined in Munich and Berlin, recognized by AKC in 1936. Name translates to 'monkey-like terrier'.",uaRTIWL69C,"{'imperial': '7-10', 'metric': '3.2-4.5'}","{'imperial': '9-11.5', 'metric': '23-29'}","{'id': 'uaRTIWL69C', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/8009d9ca-3f02-41dc-89fd-c9241027fb96.jpeg', 'width': 1184, 'height': 912}",3.2-4.5,3.2,4.5,3.85,23-29,23.0,29.0,26.0,12.0,15.0,13.5,small,"['Confident', 'alert', 'playful', 'loyal', 'courageous']"
2,Afghan Hound,2,12-15,"Independent, dignified, aloof, loyal, confident",Afghanistan,AF,AF,"Ancient, elegant sighthound with dramatic, flowing silky coat and aristocratic bearing, bred for hunting large prey in mountainous terrain",,,Hound,"Ancient sighthound originating in the mountainous regions of Afghanistan, where they were prized for hunting large prey like gazelles and leopards. Valued for their speed, stamina, and problem-solving intelligence over rugged terrain. Introduced to the Western world by British officers in the early 20th century.",atummvxJRT,"{'imperial': 'Male: 55-65; Female: 45-55', 'metric': 'Male: 25-30; Female: 20-25'}","{'imperial': 'Male: 27-29; Female: 25-27', 'metric': 'Male: 69-74; Female: 63-69'}","{'id': 'atummvxJRT', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/4a361a1f-efa9-41a5-a164-124ca68ad141.jpeg', 'width': 1104, 'height': 976}",Male: 25-30; Female: 20-25,20.0,30.0,25.0,Male: 69-74; Female: 63-69,63.0,74.0,68.75,12.0,15.0,13.5,medium,"['Independent', 'dignified', 'aloof', 'loyal', 'confident']"
4,Airedale Terrier,2,11-14,"Confident, intelligent, courageous, alert, energetic, outgoing","Yorkshire, England",GB,GB,"The largest of all terrier breeds, the Airedale is a large, athletic dog with a distinctive wiry black and tan coat and confident, alert demeanor. Known as the 'King of Terriers', this highly intelligent and versatile breed combines courage with an outgoing temperament.",,,Terrier,"Developed in the Aire Valley of Yorkshire, England, by crossing Otterhounds with various terrier breeds. Originally bred by working-class fanciers to hunt otters and rats, their intelligence and courage led to their use as police dogs, war dogs, and all-around companions.",H5dFqyAoeZ,"{'imperial': 'Male: 50-70; Female: 40-55', 'metric': 'Male: 23-32; Female: 18-25'}","{'imperial': 'Male: 23-24; Female: 22-23', 'metric': 'Male: 58-61; Female: 56-58'}","{'id': 'H5dFqyAoeZ', 'url': 'https://cdn4.thedogapi.com/optimized/H5dFqyAoeZ.jpg', 'width': 1136, 'height': 928}",Male: 23-32; Female: 18-25,18.0,32.0,24.5,Male: 58-61; Female: 56-58,56.0,61.0,58.25,11.0,14.0,12.5,medium,"['Confident', 'intelligent', 'courageous', 'alert', 'energetic', 'outgoing']"
5,Akbash,2,10-12,"Independent, protective, calm, alert, loyal, intelligent",Western Turkey,TR,TR,"Large, powerful, all-white livestock guardian dog from Turkey with lean athletic build, known for its independent nature and strong protective instincts. The distinctive white coat helped shepherds distinguish it from predators at a distance.",,,Guardian,"Ancient breed developed over 3,000 years ago in western Turkey for guarding livestock, particularly in the Akbash region. The white coat helped shepherds distinguish the dogs from predators. Introduced to North America in the 1970s for predator control programs.",e8yVyPMX2w,"{'imperial': 'Male: 90-140; Female: 75-105', 'metric': 'Male: 41-64; Female: 34-48'}","{'imperial': 'Male: 28-34; Female: 27-32', 'metric': 'Male: 71-86; Female: 69-81'}","{'id': 'e8yVyPMX2w', 'url': 'https://cdn4.thedogapi.com/optimized/e8yVyPMX2w.jpg', 'width': 1376, 'height': 768}",Male: 41-64; Female: 34-48,34.0,64.0,46.75,Male: 71-86; Female: 69-81,69.0,86.0,76.75,10.0,12.0,11.0,large,"['Independent', 'protective', 'calm', 'alert', 'loyal', 'intelligent']"
6,Akita,2,10-13,"Courageous, loyal, dignified, independent, protective, alert",Japan,JP,JP,"A large, powerful spitz-type dog of Japanese origin with a bear-like head, dense double coat, and full curled tail. Known for its dignified presence, imposing stature, and courageous, loyal temperament.",,,Working,"Ancient Japanese breed developed in the mountainous Akita prefecture for hunting large game including wild boar and bear. Revered in Japanese culture as a symbol of health, happiness, and good fortune. The breed was nearly lost after World War II but was preserved by dedicated breeders and designated as a national treasure in Japan.",t5MVw1i9DV,"{'imperial': 'Male: 100-130; Female: 70-100', 'metric': 'Male: 45-59; Female: 32-45'}","{'imperial': 'Male: 26-28; Female: 24-26', 'metric': 'Male: 66-71; Female: 61-66'}","{'id': 't5MVw1i9DV', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/85a7180d-7fab-42d6-b872-2f01fdae7ecb.jpeg', 'width': 1264, 'height': 848}",Male: 45-59; Female: 32-45,32.0,59.0,45.25,Male: 66-71; Female: 61-66,61.0,71.0,66.0,10.0,13.0,11.5,large,"['Courageous', 'loyal', 'dignified', 'independent', 'protective', 'alert']"
7,Alapaha Blue Blood Bulldog,2,12-13,"Loyal, protective, intelligent, confident, alert","Alapaha River region of southern Georgia, United States",US,US,"A powerful, athletic bulldog breed with distinctive blue merle or patched coat patterns and muscular build. Originally developed as a 'catch dog' for farm work, livestock protection, and family guardian with strong protective instincts.",,,Working,"Developed in the Alapaha River region of southern Georgia as a multi-purpose catch dog for working cattle and hogs, and as a family guardian. Descended from Old English Bulldogs and recreated the original plantation bulldogs of the 1800s, maintained by the Lane family.",2cVpMp0rNq,"{'imperial': 'Male: 70-90; Female: 55-75', 'metric': 'Male: 32-41; Female: 25-34'}","{'imperial': 'Male: 20-24; Female: 18-22', 'metric': 'Male: 51-61; Female: 46-56'}","{'id': '2cVpMp0rNq', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/7fce7584-ce26-4b07-ac50-00917f685ea3.jpeg', 'width': 1024, 'height': 1040}",Male: 32-41; Female: 25-34,25.0,41.0,33.0,Male: 51-61; Female: 46-56,46.0,61.0,53.5,12.0,13.0,12.5,large,"['Loyal', 'protective', 'intelligent', 'confident', 'alert']"
8,Alaskan Husky,2,10-15,"Energetic, intelligent, work-focused, athletic, friendly, independent","Alaska, United States",US,US,"Medium-sized athletic sled dog bred for performance rather than appearance, with variable coat colors and exceptional endurance. Built for speed and arctic conditions, this working dog represents a blend of various Northern breeds and pointers optimized for sled racing.",,,Mixed,"Developed in Alaska as a purpose-bred sled dog through selective breeding of various northern breeds (Siberian Husky, Alaskan Malamute, Inuit dogs) with European breeds like Pointers, Greyhounds, and Salukis to create the ideal combination of speed, endurance, and work ethic for sled racing",Mwk9PRTSRd,"{'imperial': 'Male: 38-60; Female: 35-55', 'metric': 'Male: 17-27; Female: 16-25'}","{'imperial': 'Male: 21-26; Female: 20-25', 'metric': 'Male: 53-66; Female: 51-64'}","{'id': 'Mwk9PRTSRd', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/42d7aaab-5807-472f-8668-a8b8184a2fcf.jpeg', 'width': 848, 'height': 1264}",Male: 17-27; Female: 16-25,16.0,27.0,21.25,Male: 53-66; Female: 51-64,51.0,66.0,58.5,10.0,15.0,12.5,medium,"['Energetic', 'intelligent', 'work-focused', 'athletic', 'friendly', 'independent']"
9,Alaskan Malamute,2,10-14,"Affectionate, friendly, loyal, playful, intelligent, energetic, outgoing","Alaska, United States",US,US,"An immensely strong, heavy-duty freighting dog of spitz type, the Alaskan Malamute is a large, powerful Arctic sled dog with a thick double coat, deep chest, well-muscled body, wolf-like appearance, and characteristically plumed tail carried over the back",,,Working,"One of the oldest Arctic sled dogs, developed by the native Mahlemut Inuit tribe of northwestern Alaska. Essential for survival, used for hauling heavy freight across Arctic terrain, hunting large predators like seals and polar bears",I1EnonLIZq,"{'imperial': 'Male: 80-90; Female: 70-80', 'metric': 'Male: 36-41; Female: 32-36'}","{'imperial': 'Male: 24-26; Female: 22-24', 'metric': 'Male: 61-66; Female: 56-61'}","{'id': 'I1EnonLIZq', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/4b2b5ed6-e152-4dfc-876e-0043914c7fef.jpeg', 'width': 1152, 'height': 928}",Male: 36-41; Female: 32-36,32.0,41.0,36.25,Male: 61-66; Female: 56-61,56.0,66.0,61.0,10.0,14.0,12.0,large,"['Affectionate', 'friendly', 'loyal', 'playful', 'intelligent', 'energetic', 'outgoing']"
10,American Bulldog,2,10-12,"Confident, loyal, protective, energetic, affectionate, courageous",United States,US,US,"A powerful, athletic, short-coated dog of the molosser type with a broad head and muscular build, known for its confidence, strength, and loyalty as a family companion and guardian. Originally bred for farm work and protection.",,,Working,"Descended from Old English Bulldogs brought by working-class immigrants to the American South. Developed as versatile all-around farm utility dogs for guarding property, catching livestock, and protection. The breed was preserved from near extinction after WWII by breeders John D. Johnson and Alan Scott.",KVHHOetxxp,"{'imperial': 'Male: 75-100; Female: 60-80', 'metric': 'Male: 34-45; Female: 27-36'}","{'imperial': 'Male: 22-25; Female: 20-23', 'metric': 'Male: 56-64; Female: 51-58'}","{'id': 'KVHHOetxxp', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/6bc0b248-c54b-480e-97ea-fb1f628d0f0e.jpeg', 'width': 1024, 'height': 1024}",Male: 34-45; Female: 27-36,27.0,45.0,35.5,Male: 56-64; Female: 51-58,51.0,64.0,57.25,10.0,12.0,11.0,large,"['Confident', 'loyal', 'protective', 'energetic', 'affectionate', 'courageous']"
11,American Bully,2,8-13,"Confident, gentle, loyal, affectionate, outgoing, eager to please",United States,US,US,"A compact, muscular companion breed with a powerfully built body, broad head, and confident demeanor. Known for its gentle, affectionate nature and loyalty to family, the American Bully was developed from American Pit Bull Terriers and other bully breeds to create an excellent companion dog with a stable temperament.",,,Companion,"Developed in the United States between the 1980s and 1990s as a companion breed through selective breeding of American Pit Bull Terriers, American Staffordshire Terriers, and other bulldog-type breeds to produce a dog with a gentler temperament and more muscular, 'bullier' physique. Recognized by the United Kennel Club in 2013.",3Ewy1eAkz2,"{'imperial': 'Male: 65-120; Female: 55-100', 'metric': 'Male: 29-54; Female: 25-45'}","{'imperial': 'Male: 17-20; Female: 16-19', 'metric': 'Male: 43-51; Female: 41-48'}","{'id': '3Ewy1eAkz2', 'url': 'https://cdn4.thedogapi.com/optimized/3Ewy1eAkz2.jpg', 'width': 1024, 'height': 1040}",Male: 29-54; Female: 25-45,25.0,54.0,38.25,Male: 43-51; Female: 41-48,41.0,51.0,45.75,8.0,13.0,10.5,large,"['Confident', 'gentle', 'loyal', 'affectionate', 'outgoing', 'eager to please']"
